Strate ,Superficie (km²),Code transect,Longueur transect (km),Espece,Taille groupe,Dist perp (m),,,,,,,,,,,,,,,,,,,
PNP,1016,BL10A,1,Buffle,27,65.84878335,,,,,,,,,,,,,,,,,,,
PNP,1016,BL10R,2,Cephalophe a flancs roux,1,0.689546527,,,,,,,,,,,,,,,,,,,
PNP,1016,BL10T,1,Redunca,2,32.90664377,,,,,,,,,,,,,,,,,,,
PNP,1016,BL11A,2,Buffle,16,1.911009137,,,,,,,,,,,,,,,,,,,
PNP,1016,BL11A,2,Ourebi,2,17.15952294,,,,,,,,,,,,,,,,,,,
PNP,1016,BL11R,2,,,,,,,,,,,,,,,,,,,,,,
PNP,1016,BL11T,1,Cephalophe a flancs roux,3,11.7414789,,,,,,,,,,,,,,,,,,,
PNP,1016,BL11T,1,Redunca,1,16.82420535,,,,,,,,,,,,,,,,,,,
PNP,1016,BL12A,1,Buffle,76,3.150448943,,,,,,,,,,,,,,,,,,,
PNP,1016,BL12A,1,Buffle,3,9.869801215,,,,,,,,,,,,,,,,,,,
PNP,1016,BL12T,1,,,,,,,,,,,,,,,,,,,,,,
PNP,1016,BL13A,1,Ourebi,2,39.65303942,,,,,,,,,,,,,,,,,,,
PNP,1016,BL13R,2,Buffle,69,20.65264181,,,,,,,,,,,,,,,,,,,
PNP,1016,BL13R,2,Redunca,3,44.6442889,,,,,,,,,,,,,,,,,,,
PNP,1016,BL13T,1,Cephalophe de Grimm,2,5.925276036,,,,,,,,,,,,,,,,,,,
PNP,1016,BL14A,6,Guib harnaché,1,7.818359342,,,,,,,,,,,,,,,,,,,
PNP,1016,BL14A,6,Ourebi,2,5.39554368,,,,,,,,,,,,,,,,,,,
PNP,1016,BL14R,7,Ourebi,1,22.27220958,,,,,,,,,,,,,,,,,,,
PNP,1016,BL16R,6,Ourebi,1,15.19096923,,,,,,,,,,,,,,,,,,,
PNP,1016,BL16R,6,Ourebi,1,17.0809926,,,,,,,,,,,,,,,,,,,
PNP,1016,BL16T,1,,,,,,,,,,,,,,,,,,,,,,
PNP,1016,BL1A,7,Buffle,50,69.39007314,,,,,,,,,,,,,,,,,,,
PNP,1016,BL1A,7,Buffle,5,21.32951815,,,,,,,,,,,,,,,,,,,
PNP,1016,BL2A,7,Ourebi,1,33.99169856,,,,,,,,,,,,,,,,,,,
PNP,1016,BL2A,7,Ourebi,1,15.4016051,,,,,,,,,,,,,,,,,,,
PNP,1016,BL2A,7,Ourebi,1,20.99774077,,,,,,,,,,,,,,,,,,,
PNP,1016,BL2R,7,Ourebi,3,19.3016636,,,,,,,,,,,,,,,,,,,
PNP,1016,BL2R,7,Ourebi,3,21.83243243,,,,,,,,,,,,,,,,,,,
PNP,1016,BL2R,7,Ourebi,2,4.827355684,,,,,,,,,,,,,,,,,,,
PNP,1016,BL2R,7,Ourebi,2,16.02305271,,,,,,,,,,,,,,,,,,,
PNP,1016,BL2R,7,Ourebi,1,13.95158925,,,,,,,,,,,,,,,,,,,
PNP,1016,BL3A,7,,,,,,,,,,,,,,,,,,,,,,
PNP,1016,BL3R,7,Buffle,12,83.70953552,,,,,,,,,,,,,,,,,,,
PNP,1016,BL3R,7,Buffle,7,53.61573222,,,,,,,,,,,,,,,,,,,
PNP,1016,BL3R,7,Ourebi,2,2.651060583,,,,,,,,,,,,,,,,,,,
PNP,1016,BL3T,1,,,,,,,,,,,,,,,,,,,,,,
PNP,1016,BL4A,7,Ourebi,2,28.93959719,,,,,,,,,,,,,,,,,,,
PNP,1016,BL4R,7,Buffle,1,12.4793804,,,,,,,,,,,,,,,,,,,
PNP,1016,BL4T,1,,,,,,,,,,,,,,,,,,,,,,
PNP,1016,BL5A,7,Buffle,1,94.54451549,,,,,,,,,,,,,,,,,,,
